species,value,mean.metric
ANAR,0.92075,acc
ANAR,0.53425,sen
ANAR,0.94475,spe
ARLA,0.91825,acc
ARLA,0.7965,sen
ARLA,0.94425,spe
ASLE,0.895,acc
ASLE,0.57475,sen
ASLE,0.9205,spe
CAMI,0.88775,acc
CAMI,0.65225,sen
CAMI,0.91625,spe
ERGR,0.87425,acc
ERGR,0.6075,sen
ERGR,0.93325,spe
LICA,0.9095,acc
LICA,0.7775,sen
LICA,0.93375,spe
LUAR,0.89025,acc
LUAR,0.74625,sen
LUAR,0.919,spe
MEPA,0.825,acc
MEPA,0.7595,sen
MEPA,0.804,spe
PEBR,0.89325,acc
PEBR,0.763285714,sen
PEBR,0.919625,spe
POBI,0.886375,acc
POBI,0.72125,sen
POBI,0.922,spe
VASI,0.867125,acc
VASI,0.6745,sen
VASI,0.906125,spe
ANOC,0.8875,acc
ANOC,0.78625,sen
ANOC,0.90375,spe
CAPA,0.851,acc
CAPA,0.7175,sen
CAPA,0.87775,spe
ERMO,0.9065,acc
ERMO,0.765,sen
ERMO,0.946,spe
ERPE,0.90075,acc
ERPE,0.7005,sen
ERPE,0.93275,spe
LIGR,0.9055,acc
LIGR,0.67275,sen
LIGR,0.94025,spe
MIAL,0.9095,acc
MIAL,0.459,sen
MIAL,0.9445,spe
