species.acc,acc,species.sen,sen,species.spe,spe
ANAR,0.92075,ARLA,0.7965,ERMO,0.946
ARLA,0.91825,ANOC,0.78625,ANAR,0.94475
LICA,0.9095,LICA,0.7775,MIAL,0.9445
MIAL,0.9095,ERMO,0.765,ARLA,0.94425
ERMO,0.9065,PEBR,0.763285714,LIGR,0.94025
LIGR,0.9055,MEPA,0.7595,LICA,0.93375
ERPE,0.90075,LUAR,0.74625,ERGR,0.93325
ASLE,0.895,POBI,0.72125,ERPE,0.93275
PEBR,0.89325,CAPA,0.7175,POBI,0.922
LUAR,0.89025,ERPE,0.7005,ASLE,0.9205
CAMI,0.88775,VASI,0.6745,PEBR,0.919625
ANOC,0.8875,LIGR,0.67275,LUAR,0.919125
POBI,0.886375,CAMI,0.65225,CAMI,0.91625
ERGR,0.87425,ERGR,0.6075,VASI,0.906125
VASI,0.867125,ASLE,0.57475,ANOC,0.90375
CAPA,0.851,ANAR,0.53425,CAPA,0.87775
MEPA,0.825,MIAL,0.459,MEPA,0.804
